column,primary_use_case,AnalysisHandling,alt_use_cases,peril_fire,peril_wildfire,peril_weather,peril_nw_water,peril_crime,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,usage_uw,usage_ops,usage_pricing,calculate_stats
wind_born_debris.year_2001.text,Wind,Combine,,,,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
wind_born_debris.year_2007.score,Wind,Exceptions,,,,X,,,,X,,X,X,,,X,,ALL,X,X,,Yes
wind_born_debris.year_2007.text,Wind,Combine,,,,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
wind_born_debris.year_2010.score,Wind,Exceptions,,,,X,,,,X,,X,X,,,X,,ALL,X,X,,Yes
wind_born_debris.year_2010.text,Wind,Combine,,,,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
wind_born_debris.year_2014.score,Wind,Exceptions,,,,X,,,,X,,X,X,,,X,,ALL,X,X,,Yes
wind_born_debris.year_2014.text,Wind,Combine,,,,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
mine_subsidence.score,Mine Subsidence,Exceptions,C (17); D (50),,,,,,X,,X,X,X,,,,,ALL,X,,X,Yes
mine_subsidence.text,Mine Subsidence,Combine,,,,,,,X,,X,X,X,,,,,ALL,,X,,Yes
surge_max.score,Coastal Surge,Exceptions,F (57),,,,,,,,,X,X,X,,,,ALL,X,X,,Yes
surge_max.text,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.category,Coastal Surge,Distribution,,,,,,,,,,X,X,X,,,,ALL,X,,X,Yes
surge_max.potential_inundation_level,Coastal Surge,Bucket,"Inundation level > 1ft (14), Protected by levee (8)",,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.desc,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.category_4,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,X,,X,Yes
surge_max.potential_inundation_level_4,Coastal Surge,Bucket,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.desc_4,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,No
surge_max.category_3,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,X,,X,Yes
surge_max.potential_inundation_level_3,Coastal Surge,Bucket,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.desc_3,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,No
surge_max.category_2,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,X,,X,Yes
surge_max.potential_inundation_level_2,Coastal Surge,Bucket,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.desc_2,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,No
surge_max.category_1,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.potential_inundation_level_1,Coastal Surge,Bucket,,,,,,,,,,X,X,X,,,,ALL,,X,,Yes
surge_max.desc_1,Coastal Surge,Combine,,,,,,,,,,X,X,X,,,,ALL,,X,,No
surge_max.category_L,,,,,,,,,,,,,,,,,,,,,,No
surge_max.potential_inundation_level_L,,,,,,,,,,,,,,,,,,,,,,No
surge_max.score_L,,,,,,,,,,,,,,,,,,,,,,No
surge_max.text_L,,,,,,,,,,,,,,,,,,,,,,No
coast_distance.distance,Distance to Coast,Distribution,,,,,,,,,,X,X,X,,,,ALL,X,,X,Yes
coast_distance.units,Distance to Coast,Exceptions,Exceptions: Less than 1 mile from Coast (32),,,,,,,,,X,X,X,,,,ALL,X,X,,No
coast_distance.high_res_distance.value,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,Yes
coast_distance.high_res_distance.units,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,No
coast_distance.low_res_distance.value,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,Yes
coast_distance.low_res_distance.units,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,No
coast_distance.beach_distance.value,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,Yes
coast_distance.beach_distance.units,Distance to Coast,Combine,,,,,,,,,,X,X,X,,,,ALL,X,X,,No
sea_level_rise.flood_at,SeaLevel Rise,Exceptions,,,,,,,,X,,,,X,,,,ALL,X,X,,Yes
sea_level_rise.text,SeaLevel Rise,Combine,,,,,,,,X,,,,X,,,,ALL,,X,,No
murder.score,Murder,Distribution,"Premises liability only, e.g. failure to provide security",,,,,X,,,,X,X,,,,,CL,X,,X,Yes
murder.text,Murder,Combine,,,,,,X,,,,X,X,,,,,CL,,X,,Yes
murder.value,Murder,Combine,,,,,,X,,,,X,X,,,,,CL,,X,,Yes
forcible_rape.score,Rape,Distribution,"Premises liability only, e.g. failure to provide security",,,,,X,,,,X,X,,,,,CL,X,,X,Yes
forcible_rape.text,Rape,Combine,,,,,,X,,,,X,X,,,,,CL,,X,,Yes
forcible_rape.value,Rape,Combine,,,,,,X,,,,X,X,,,,,CL,,X,,Yes
forcible_robbery.score,Theft,Distribution,,,,,,X,,,,X,X,,,X,,ALL,X,,,Yes
forcible_robbery.text,Theft,Combine,,,,,,X,,,,X,X,,,X,,ALL,,X,,Yes
forcible_robbery.value,Theft,Combine,,,,,,X,,,,X,X,,,X,,ALL,,,X,Yes
aggravated_assault.score,Assault,Distribution,,,,,,X,,,,X,X,,,,,ALL,X,,,Yes
aggravated_assault.text,Assault,Combine,,,,,,X,,,,X,X,,,,,ALL,,X,,Yes
aggravated_assault.value,Assault,Combine,,,,,,X,,,,X,X,,,,,ALL,,,X,Yes
burglary.score,Burglary,Distribution,,,,,,X,,,,X,X,,,,,ALL,X,,,Yes
burglary.text,Burglary,Combine,,,,,,X,,,,X,X,,,,,ALL,,X,,Yes
burglary.value,Burglary,Combine,,,,,,X,,,,X,X,,,,,ALL,,,X,Yes
larceny.score,Theft,Distribution,,,,,,X,,,,X,X,,,X,,ALL,X,,,Yes
larceny.text,Theft,Combine,,,,,,X,,,,X,X,,,X,,ALL,,X,,Yes
larceny.value,Theft,Combine,,,,,,X,,,,X,X,,,X,,ALL,,,X,Yes
motor_vehicle_theft.score,Vandalism,Distribution,,,,,,X,,,,X,X,,,X,,ALL,X,,,Yes
motor_vehicle_theft.text,Vandalism,Combine,,,,,,X,,,,X,X,,,X,,ALL,,X,,Yes
motor_vehicle_theft.value,Vandalism,Combine,,,,,,X,,,,X,X,,,X,,ALL,,,X,Yes
crime.score,Crime,Distribution,,,,,,X,,,,X,X,,,,,ALL,X,,,Yes
crime.text,Crime,Combine,,,,,,X,,,,X,X,,,,,ALL,,X,,Yes
crime.value,Crime,Combine,,,,,,X,,,,X,X,,,,,ALL,,,X,Yes
airport_noise.decibels,Airport,Distribution,"50 or higher (29); falling objects, broken windows",,,,,,X,,,X,X,,X,X,,ALL,,,X,Yes
airport_noise.score,Airport,Combine,,,,,,,X,,,X,X,,X,X,,ALL,X,,,Yes
airport_noise.text,Airport,Combine,,,,,,,X,,,X,X,,X,X,,ALL,,X,,Yes
radon.score,Radon,Distribution,DF (Landlords) and Commercial Residential Liability,,,,,,,,,X,X,,,,,ALL,X,,X,Yes
radon.text,Radon,Combine,,,,,,,,,,X,X,,,,,ALL,,X,,Yes
landslide.score,Landslide,Distribution,wildfire-related risk / ADJACENT Steep Slopes (Future Mudslide potential),,X,X,,,,,X,X,X,X,,,,ALL,X,,X,Yes
landslide.text,Landslide,Combine,,,X,X,,,,,X,X,X,X,,,,ALL,,X,,Yes
re_tier_counties.value,Hurricane,Exceptions,Hurricane Reinsurance Tier 2 (19) Tier 1 (174),,,X,,,,X,,,,X,,,,ALL,X,X,X,Yes
premium_tax.value,Premium Tax,Distribution,,,,,,,,,,,,,,,,ALL,,X,,Yes
premium_tax.text,,,,,,,,,,,,,,,,,,,,,,No
premium_tax_params.prem_hh_id.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.fips.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.county.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.city.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.city_des.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.auth_ta.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.fips_ta.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.fire_zone.value,Premium Tax,Combine,Fire District Determination for some regions,X,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.tax_cd_1.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.tax_cd_2.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.dt_vint.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_params.gnis.value,Premium Tax,Combine,,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky.value,Premium Tax,Distribution,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,Yes
premium_tax_ky.text,,,,,,,,,,,,,,,,,,,,,,No
premium_tax_ky_params.county_prem_hh_id.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_name.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_fips.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_state.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_auth_ta.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_fips_ta.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_tax_cd_1.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_tax_cd_2.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_fire_per.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_cas_li_onl.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_vehicle.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_in_marine.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_health.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_life.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_all_others.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_min_tax.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_dt_vint.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.county_gnis.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_prem_hh_id.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_name.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_notes.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_state.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_county.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_fips.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_auth_ta.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_fips_ta.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_tax_cd_1.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_tax_cd_2.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_fire_per.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_cas_li_onl.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_vehicle.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_in_marine.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_health.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_life.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_all_others.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_min_tax.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_dt_vint.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
premium_tax_ky_params.municipal_gnis.value,Premium Tax,Combine,Kentucky Premium Tax,,,,,,,,,,,,,,,ALL,,X,,No
ust.score,USTs,Distribution,,X,,,,,X,X,,X,X,,,,X,ALL,X,X,X,Yes
ust.text,USTs,Combine,,X,,,,,X,X,,X,X,,,,X,ALL,,X,,Yes
ust_nearest.fac_id.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest.name.value,USTs,Combine,,X,,,,,X,X,,X,X,,,,X,ALL,,X,,No
ust_nearest.address.value,USTs,Combine,,X,,,,,X,X,,X,X,,,,X,ALL,,X,,No
ust_nearest.state.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest.city.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest.zipcode.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest.num_tanks.value,,,,,,,,,,,,,,,,,,,,,,Yes
ust_nearest.leaking.value,LUSTs,Distribution,,X,,,,,X,X,,,,,,,,ALL,X,X,X,No
ust_nearest.residential.value,,,,,,,,,,,,,,,,,,,,,,No
ust_tanks_num_in_quarter_mile_radius.value,,,,,,,,,,,,,,,,,,,,,,No
ust_tanks_num_in_half_mile_radius.value,,,,,,,,,,,,,,,,,,,,,,Yes
ust_tanks_num_in_1_mile_radius.value,,,,,,,,,,,,,,,,,,,,,,Yes
ust_nearest_leaking.text,LUSTs,Combine,,X,,,,,X,X,,X,X,,,,,ALL,,X,,No
ust_nearest_leaking.fac_id.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest_leaking.name.value,LUSTs,Combine,,X,,,,,X,X,,X,X,,,,,ALL,,X,,No
ust_nearest_leaking.address.value,LUSTs,Combine,,X,,,,,X,X,,X,X,,,,,ALL,,X,,No
ust_nearest_leaking.state.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest_leaking.city.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest_leaking.zipcode.value,,,,,,,,,,,,,,,,,,,,,,No
ust_nearest_leaking.num_tanks.value,,,,,,,,,,,,,,,,,,,,,,Yes
ust_nearest_leaking.leaking.value,,,,,,,,,,,,,,,,,,,,,,No
ust_facilities_leaking_quarter_mile_radius.value,,,,,,,,,,,,,,,,,,,,,,Yes
nuclear_site.score,Pollution,Distribution,Nuclear Site,,,,,,X,X,X,X,X,,X,,,CL,X,X,X,Yes
nuclear_site.text,Pollution,Combine,Nuclear Site,,,,,,X,X,X,X,X,,X,,,CL,,X,,Yes
nuclear_site_nearest.distance.value,,,,,,,,,,,,,,,,,,,,,,Yes
nuclear_site_nearest.distance.units,,,,,,,,,,,,,,,,,,,,,,No
nuclear_site_nearest.name.value,Pollution,Combine,,,,,,,X,X,X,X,X,,X,,,CL,,,,Yes
nuclear_site_nearest.type.value,,,,,,,,,,,,,,,,,,,,,,Yes
nuclear_site_nearest.reactors.value,,,,,,,,,,,,,,,,,,,,,,Yes
asbestos_sources_params.score,Pollution,Distribution,,X,X,X,,,X,,X,X,X,,,,X,CL,X,,X,Yes
asbestos_sources_params.desc,Pollution,Combine,,X,X,X,,,X,,X,X,X,,,,X,CL,,X,,Yes
asbestos_sources_params.site_name,Pollution,Combine,,X,X,X,,,X,,X,X,X,,,,X,CL,,X,,No
volcano.score,Volcano,Distribution,,,X,,,,,X,X,X,X,,,X,,ALL,X,,X,Yes
volcano.text,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
volcano_nearest.volcano_distance.units,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
volcano_nearest.volcano_distance.value,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
volcano_nearest.volcano_elev.value,Volcano,Xtab 539,,,X,,,,,X,X,X,X,,,X,,ALL,X,,X,Yes
volcano_nearest.volcano_name.value,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
volcano_nearest.volcano_status.value,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
volcano_nearest.volcano_type.value,Volcano,Combine,,,X,,,,,X,X,X,X,,,X,,ALL,,X,,Yes
drug_alcohol_deaths.score,Drug Alcohol Dth,Distribution,"Drug Alcohol Deaths - Crime, Fire, Vandalism?",,,,,X,,,,,,,,X,,CL,X,,X,Yes
drug_alcohol_deaths.text,Drug Alcohol Dth,Combine,,,,,,X,,,,,,,,X,,CL,,X,,Yes
drug_alcohol_deaths_deaths.value,,,,,,,,,,,,,,,,,,,,,,Yes
drug_alcohol_deaths_score.value,,,,,,,,,,,,,,,,,,,,,,Yes
drug_alcohol_deaths_rate100k.value,,,,,,,,,,,,,,,,,,,,,,Yes
toxic_release_facilities.score,Pollution,Distribution,Farms - Air Toxins,,,,,,X,X,,X,X,,,,,CL,X,X,X,Yes
toxic_release_facilities.text,Pollution,Combine,,,,,,,X,X,,X,X,,,,,CL,,X,,Yes
toxic_release_facilities_params.fac_id.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.fed_id.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.name.value,Pollution,Combine,,,,,,,X,X,,X,X,,,,,CL,,X,,No
toxic_release_facilities_params.address.value,Pollution,Combine,,,,,,,X,X,,X,X,,,,,CL,,X,,No
toxic_release_facilities_params.city.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.state.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.zipcode.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.industry.value,,,,,,,,,,,,,,,,,,,,,,Yes
toxic_release_facilities_params.chemical.value,,,,,,,,,,,,,,,,,,,,,,No
toxic_release_facilities_params.carcinogen.value,,,,,,,,,,,,,,,,,,,,,,Yes
toxic_release_facilities_params.distance.units,,,,,,,,,,,,,,,,,,,,,,Yes
toxic_release_facilities_params.distance.value,,,,,,,,,,,,,,,,,,,,,,Yes
clandestine_lab.address,Explosion,Distribution,Proximate to illegal drug labs,X,,,,,,,,,,,,,,ALL,X,X,X,No
clandestine_lab.city,Explosion,Combine,,X,,,,,,,,,,,,,,ALL,,X,,No
clandestine_lab.state,Explosion,Combine,,X,,,,,,,,,,,,,,ALL,,X,,No
clandestine_lab.zip,Explosion,Combine,,X,,,,,,,,,,,,,,ALL,,X,,No
clandestine_lab.date,,,,,,,,,,,,,,,,,,,,,,No
clandestine_lab.distance,Explosion,Combine,,X,,,,,,,,,,,,,,ALL,,X,,Yes
clandestine_lab.number_within_5_miles,Illegal Drug Labs,Distribution,,X,,,,X,,,,X,X,,,X,,ALL,X,X,X,Yes
police_stations.name,,,,,,,,,,,,,,,,,,,,,,No
police_stations.distance,,,,,,,,,,,,,,,,,,,,,,Yes
police_stations.number_within_5_miles,Crime,Distribution,No police stations within 5 miles,,,,,X,,,,X,X,,,,,ALL,,,,Yes
tx_codes.com,TX Defined Zones,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
tx_codes.code,TX Defined Zones,Distribution,,,,,,,,,,,,,,,,ALL,X,X,X,No
tx_codes.county,TX Defined Zones,Combine,Texas County Codes,,,,,,,,,,,,,,,ALL,,X,,No
fl_codes.name,TX Defined Zones,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
fl_codes.terr,FL Defined Zones,Distribution,Florida Territories,,,,,,,,,,,,,,,ALL,X,X,X,No
fl_construction_line,FL Construction Line,Keep,,,,,,,,,,,,X,,,,ALL,,,,No
hospital.name,,,,,,,,,,,,,,,,,,,,,,No
hospital.address,,,,,,,,,,,,,,,,,,,,,,No
hospital.state,,,,,,,,,,,,,,,,,,,,,,No
hospital.type,,,,,,,,,,,,,,,,,,,,,,Yes
hospital.helipad,,,,,,,,,,,,,,,,,,,,,,Yes
hospital.distance,,,,,,,,,,,,,,,,,,,,,,Yes
hospital.number_of_hospitals_within_5_miles,,,,,,,,,,,,,,,,,,,,,,Yes
hospital.number_of_hospitals_within_10_miles,,,,,,,,,,,,,,,,,,,,,,Yes
urgent_care.name,,,,,,,,,,,,,,,,,,,,,,No
urgent_care.address,,,,,,,,,,,,,,,,,,,,,,No
urgent_care.state,,,,,,,,,,,,,,,,,,,,,,No
urgent_care.type,,,,,,,,,,,,,,,,,,,,,,No
urgent_care.distance,,,,,,,,,,,,,,,,,,,,,,Yes
property.address,,,,,,,,,,,,,,,,,,,,,,No
property.apn,,,,,,,,,,,,,,,,,,,,,,No
property.id,,,,,,,,,,,,,,,,,,,,,,No
property.owner,Owner Info,Compare w 796,Check against Named Insured /Identify Deceased Owners,,,,,,,,,,,,,,,ALL,,X,,No
property.street_address,,,,,,,,,,,,,,,,,,,,,,No
property.use_code,Parcel Info,Distribution,Expedite processing of non-standard use codes,X,X,X,,,,X,X,X,X,,,,X,ALL,X,X,X,Yes
property.zip,,,,,,,,,,,,,,,,,,,,,,No
assessment.Air_Conditioning,Building Info,Keep,,,,,,,,,,,,,,,,ALL,,,,Yes
assessment.Air_Conditioning_Type,Building Info,Keep,,,,,,,,,,,,,,,,ALL,,,,Yes
assessment.Amenities,Building Info,Keep,,,,,,,,,,,,,,,,ALL,,,,No
assessment.Amenities_2,,,,,,,,,,,,,,,,,,,,,,No
assessment.Assessed_Improvement_Value,Property Value,Keep,Assessed Improvement Value,,,,,,,,,,,,,,,ALL,,X,,Yes
assessment.Assessed_Land_Value,Property Value,Keep,Compare Sum of Land/Improves to Market Value / Mortgage,,,,,,,,,,,,,,,ALL,,X,,Yes
assessment.Assessment_Year,Property Value,Keep,Assessment Year,,,,,,,,,,,,,,,ALL,,X,,Yes
assessment.Assessors_Parcel_Number,,,,,,,,,,,,,,,,,,,,,,No
assessment.Basement,Building Info,Keep,,,,X,X,,,,,,,X,,,X,ALL,X,X,X,Yes
assessment.Building_Area,Building Info,Keep,,,,,,,,,,X,X,,,,X,ALL,X,X,X,Yes
assessment.Building_Area_1,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
assessment.Building_Condition,Building Info,Keep,,,,,,,,,,X,X,,,,X,ALL,X,X,X,Yes
assessment.Building_Quality,Building Info,Keep,,,,,,,,,,X,X,,,,X,ALL,X,X,X,Yes
assessment.Current_Owner_Name,Owner Info,Compare w 772,Check for Owner-Occupied Tenancy,,,,,,,,,,,,,,,ALL,X,X,,No
assessment.Fireplace,Building Info,Keep,# Fireplaces,X,X,,,,,,,,,,,,X,PL,,X,,Yes
assessment.Garage_Cars,Building Info,Keep,# Parking Spaces  (theft from vehicles not garaged),,,,,,,,,,,,,X,X,PL,,X,,Yes
assessment.Garage_Type,Building Info,Keep,,,,,,,,,,X,X,,,,X,PL,X,X,X,Yes
assessment.Heating,Building Info,Keep,,X,,,,,,,,,,,,,X,ALL,X,X,X,Yes
assessment.Legal_Brief_Description_FULL,,,,,,,,,,,,,,,,,,,,,,No
assessment.Legal_Subdivision_Name,,,,,,,,,,,,,,,,,,,,,,No
assessment.LotSize_Acres,Parcel Info,Keep,,,X,X,,,,X,X,X,X,,,,,ALL,X,,X,Yes
assessment.LotSize_Depth_Feet,Parcel Info,Keep,,,X,X,,,,X,X,X,X,,,,,ALL,X,,X,Yes
assessment.LotSize_Frontage_Feet,Parcel Info,Keep,,,X,X,,,,X,X,X,X,,,,,ALL,X,,X,Yes
assessment.LotSize_Square_Feet,,,,,,,,,,,,,,,,,,,,,,Yes
assessment.LSale_Document_Number,,,,,,,,,,,,,,,,,,,,,,No
assessment.LSale_Price,Property Value,Keep,Last Sale Price (compare with assessed value & Mortgage),,,,,,,,,,,,,,X,ALL,,X,,No
assessment.LSale_Price_Code,,,,,,,,,,,,,,,,,,,,,,No
assessment.LSale_Recording_Date,Property Value,Keep,,,,,,,,,,,,,,,X,ALL,,X,,No
assessment.LValid_Price,Property Value,Keep,Last Valid Price,,,,,,,,,,,,,,X,ALL,,X,,Yes
assessment.Main_Building_Area_Indicator,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
assessment.N_of_Plumbing_Fixtures,Water NW,Distribution,,,,,X,,,,,,,,,,X,ALL,,X,,Yes
assessment.Neighborhood_Code,,,,,,,,,,,,,,,,,,,,,,No
assessment.No_of_Buildings,Building Info,Keep,,,X,X,,,,,X,,,,,,X,ALL,X,X,X,Yes
assessment.No_of_Stories,Building Info,Keep,,,,X,,,,,X,,,,,,X,ALL,X,X,X,Yes
assessment.Number_of_Baths,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
assessment.Number_of_Bedrooms,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
assessment.Number_of_Partial_Baths,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
assessment.Number_of_Units,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
assessment.Owner1FirstName,Owner Info,Keep,,,,,,,,,,,,,,,,ALL,,,,No
assessment.Owner1LastName,Owner Info,Keep,,,,,,,,,,,,,,,,ALL,,,,No
assessment.Owner2Firstname,Owner Info,Keep,,,,,,,,,,,,,,,,ALL,,,,No
assessment.Owner2LastName,Owner Info,Keep,,,,,,,,,,,,,,,,ALL,,,,No
assessment.Owner_Occupied,Owner Info,Keep,,,,,,,,,,,,,,,,ALL,,,,Yes
assessment.Pool,Parcel Info,Keep,,,,,X,,,,X,X,,,,,X,ALL,,X,,Yes
